"Sexe";"Etat Civil";"Enfants";"id_salarié";"Congé maternité A-1";"Age";"Contrat";"Salaire base mensuel";"%variable_moyen";"Augmentation";"Promotion";"id_salarié (Right)";"Durée hebdo";"Distance domicile/Travail";"Service";"Work_accident";"Niveau de satisfaction";"id_salarié (Right) (Right)";"Ancienneté_an"
"H";"Célibataire";0;"16960619-9017";0;41;"CDI";9999.3833;27;0;0;"16960619-9017";35;56;"Marketing";"Non";34;"16960619-9017";17.8
"H";"Célibataire";0;"16470418-3807";0;47;"CDI";9978.15;34;0;0;"16470418-3807";35;26;"Compta Finances";"Non";78;"16470418-3807";13
"H";"Marié";0;"16560122-3612";0;41;"CDI";9940.2333;24;0;0;"16560122-3612";35;4;"Marketing";"Non";45;"16560122-3612";22.7
"H";"0";3;"16550903-3725";0;32;"CDI";9928.1;27;1;1;"16550903-3725";35;16;"RH";"Non";58;"16550903-3725";10
"F";"Marié";3;"16990924-2829";0;41;"CDI";9873.5;13;0;0;"16990924-2829";35;69;"Consultant";"Non";60;"16990924-2829";22.5
"H";"Célibataire";1;"16600919-9578";0;36;"CDI";9785.5333;28;0;0;"16600919-9578";35;48;"Commercial";"Oui";40;"16600919-9578";17.2
"F";"Célibataire";0;"16030220-7121";0;44;"CDI";9782.5;38;0;0;"16030220-7121";35;23;"Consultant";"Non";69;"16030220-7121";6.3
"F";"Marié";0;"16560416-4227";0;42;"CDI";9777.95;4;1;0;"16560416-4227";35;56;"Commercial";"Oui";13;"16560416-4227";10.5
"H";"Marié";1;"16750821-7945";0;52;"CDI";9737;12;1;1;"16750821-7945";35;62;"Consultant";"Non";72;"16750821-7945";7.4
"H";"Célibataire";0;"16240230-3065";0;55;"CDI";9642.9667;17;0;0;"16240230-3065";35;13;"RH";"Non";3;"16240230-3065";19
"H";"Célibataire";2;"16231022-5566";0;42;"CDI";9635.3833;19;1;0;"16231022-5566";35;68;"RH";"Oui";32;"16231022-5566";6.4
"H";"Marié";2;"16290104-5498";0;48;"CDI";9573.2;5;1;0;"16290104-5498";35;28;"Informatique";"Non";77;"16290104-5498";7.9
"H";"0";1;"16460821-8733";0;47;"CDI";9573.2;7;0;0;"16460821-8733";35;26;"Commercial";"Oui";48;"16460821-8733";18.7
"F";"0";1;"16330528-4048";0;35;"CDI";9555;20;1;0;"16330528-4048";35;50;"Commercial";"Non";15;"16330528-4048";13.9
"F";"0";3;"16110307-6129";0;47;"CDI";9497.3667;17;1;0;"16110307-6129";35;63;"Commercial";"Non";81;"16110307-6129";13.8
"H";"0";0;"16310121-8257";0;54;"CDI";9488.2667;38;1;1;"16310121-8257";35;6;"Commercial";"Non";52;"16310121-8257";14.9
"H";"Célibataire";2;"16721204-5277";0;47;"CDI";9447.3167;0;1;0;"16721204-5277";35;61;"Consultant";"Non";1;"16721204-5277";21.1
"F";"Marié";1;"16050210-5695";0;51;"CDI";9426.0833;24;1;0;"16050210-5695";35;40;"Consultant";"Non";9;"16050210-5695";23.8
"H";"Marié";1;"16691022-5702";0;56;"CDI";9400.3;3;1;0;"16691022-5702";35;12;"Consultant";"Non";25;"16691022-5702";20.1
"F";"0";1;"16810204-2564";0;46;"CDI";9366.9333;8;1;1;"16810204-2564";35;46;"Informatique";"Non";74;"16810204-2564";9.1
"F";"Marié";1;"16410407-6098";0;57;"CDI";9256.2167;1;1;0;"16410407-6098";35;5;"Compta Finances";"Non";84;"16410407-6098";7.4
